var1,user_id,age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase
27,28.0,33.0,Female,Tablet,17.15,10.0,8.0,7.0,1.0,0.0,0.0,17.49,56.46,1.0
28,29.0,38.0,Male,Desktop,1.0,,5.0,1.0,0.0,0.0,0.0,13.14,77.68,0.0
29,30.0,18.0,Male,Mobile,16.11,9.0,2.0,7.0,0.0,1.0,0.0,16.64,42.25,1.0
30,31.0,22.0,Male,Mobile,4.97,3.0,0.0,0.0,0.0,0.0,0.0,11.78,87.94,0.0
31,32.0,29.0,Male,Mobile,18.03,12.0,8.0,7.0,0.0,0.0,0.0,9.52,42.65,1.0
32,33.0,,Female,Mobile,19.19,5.0,8.0,4.0,1.0,1.0,0.0,26.32,27.93,1.0
33,34.0,46.0,Female,Mobile,16.55,,1.0,3.0,1.0,0.0,0.0,11.35,36.41,0.0
34,35.0,34.0,Male,Mobile,1.0,5.0,6.0,1.0,0.0,0.0,0.0,12.4,43.49,0.0
35,36.0,30.0,Female,Tablet,13.66,4.0,0.0,0.0,0.0,1.0,1.0,9.08,77.46,0.0
36,37.0,33.0,Female,Tablet,13.92,16.0,10.0,,1.0,1.0,1.0,26.0,,1.0
37,38.0,32.0,Male,Desktop,9.85,15.0,13.0,6.0,0.0,1.0,0.0,10.05,1.0,1.0
38,39.0,50.0,Male,Mobile,2.36,1.0,2.0,0.0,1.0,1.0,0.0,11.53,55.49,0.0
39,40.0,31.0,Female,Mobile,16.7,6.0,3.0,2.0,1.0,1.0,1.0,14.85,39.52,1.0
40,41.0,31.0,Male,Mobile,21.92,14.0,8.0,5.0,1.0,0.0,1.0,18.99,39.71,1.0
41,42.0,30.0,Male,Mobile,17.28,9.0,9.0,7.0,1.0,0.0,1.0,25.4,49.93,1.0
42,43.0,32.0,Female,Desktop,12.03,16.0,11.0,8.0,1.0,0.0,0.0,20.39,39.09,1.0
43,44.0,33.0,Female,Desktop,8.2,5.0,4.0,7.0,0.0,0.0,,12.38,99.0,0.0
44,45.0,28.0,Female,Desktop,20.18,11.0,5.0,9.0,0.0,1.0,1.0,4.69,46.08,1.0
45,46.0,18.0,Female,Mobile,23.04,5.0,1.0,2.0,0.0,0.0,1.0,10.31,42.13,0.0
46,47.0,,Male,Mobile,18.82,8.0,12.0,9.0,1.0,1.0,1.0,17.78,33.19,1.0
47,48.0,28.0,Male,Desktop,12.27,13.0,2.0,0.0,0.0,1.0,0.0,1.0,56.46,0.0
48,49.0,47.0,Male,Mobile,10.28,5.0,10.0,1.0,0.0,1.0,1.0,1.0,74.88,0.0
49,50.0,22.0,Male,Mobile,18.79,11.0,9.0,7.0,1.0,1.0,1.0,16.04,17.52,1.0
50,51.0,41.0,Female,Desktop,14.15,5.0,8.0,5.0,0.0,0.0,0.0,9.71,87.8,0.0
51,52.0,41.0,Female,Mobile,4.67,9.0,6.0,3.0,1.0,0.0,1.0,4.22,54.38,0.0
52,53.0,29.0,Female,Tablet,6.94,1.0,6.0,0.0,0.0,1.0,0.0,1.0,43.29,0.0
53,54.0,54.0,Female,Mobile,4.95,1.0,3.0,1.0,0.0,1.0,,18.93,65.86,0.0
54,55.0,35.0,Male,Tablet,23.47,5.0,2.0,3.0,0.0,0.0,1.0,8.4,67.75,0.0
55,56.0,38.0,Female,Mobile,13.18,5.0,2.0,2.0,0.0,0.0,0.0,8.67,61.94,0.0
56,57.0,18.0,Female,Tablet,1.52,11.0,2.0,6.0,1.0,1.0,1.0,16.9,39.52,1.0
57,58.0,18.0,Male,Tablet,23.78,10.0,4.0,,1.0,1.0,1.0,10.69,50.26,1.0
58,59.0,41.0,Female,Tablet,17.63,12.0,12.0,,1.0,0.0,0.0,7.68,,1.0
59,60.0,43.0,Male,Mobile,14.46,8.0,9.0,4.0,1.0,0.0,1.0,18.64,,1.0
60,61.0,,Female,Tablet,12.96,13.0,5.0,8.0,0.0,1.0,,9.19,,1.0
61,62.0,39.0,Female,Tablet,13.25,17.0,9.0,,1.0,1.0,0.0,22.37,7.85,1.0
62,63.0,22.0,Female,Mobile,11.53,7.0,2.0,4.0,1.0,0.0,0.0,14.55,89.25,0.0
63,64.0,50.0,Female,Mobile,12.36,10.0,1.0,9.0,,1.0,0.0,19.36,29.92,1.0
64,65.0,30.0,Female,Mobile,11.23,12.0,2.0,4.0,0.0,0.0,1.0,19.58,3.32,1.0
65,66.0,,Male,Mobile,5.37,7.0,6.0,3.0,1.0,1.0,1.0,4.63,47.92,0.0
66,67.0,24.0,Male,Mobile,19.62,7.0,14.0,5.0,1.0,0.0,1.0,21.75,24.12,1.0
67,68.0,24.0,Male,Desktop,10.98,4.0,8.0,1.0,1.0,0.0,0.0,4.44,65.8,0.0
68,69.0,29.0,Male,Desktop,20.78,10.0,1.0,9.0,,1.0,1.0,20.87,13.82,1.0
69,70.0,27.0,Female,Tablet,13.96,7.0,5.0,1.0,0.0,1.0,0.0,6.68,50.12,0.0
70,71.0,51.0,Female,Tablet,17.5,3.0,5.0,0.0,0.0,1.0,1.0,1.0,76.84,0.0
71,72.0,45.0,Female,Desktop,20.47,16.0,10.0,9.0,1.0,0.0,,25.39,38.45,1.0
72,73.0,30.0,Male,Mobile,12.98,14.0,7.0,8.0,1.0,0.0,0.0,13.43,25.13,1.0
73,74.0,43.0,Female,Mobile,13.75,11.0,1.0,0.0,1.0,0.0,0.0,,83.12,0.0
74,75.0,29.0,Female,Tablet,8.44,6.0,2.0,1.0,0.0,0.0,0.0,1.58,20.66,0.0
75,76.0,54.0,Female,Mobile,10.61,6.0,3.0,0.0,0.0,1.0,1.0,9.22,69.12,0.0
76,77.0,38.0,Male,Mobile,8.57,4.0,0.0,,0.0,0.0,1.0,9.62,65.33,0.0
77,78.0,33.0,Male,Desktop,21.37,8.0,5.0,8.0,0.0,1.0,1.0,13.72,27.12,1.0
78,79.0,53.0,Male,Mobile,18.88,9.0,11.0,3.0,1.0,0.0,1.0,17.06,32.22,1.0
79,80.0,18.0,Male,Desktop,18.1,8.0,7.0,8.0,0.0,1.0,1.0,12.61,34.67,1.0
80,81.0,52.0,Male,Mobile,8.68,1.0,0.0,0.0,0.0,0.0,0.0,12.76,85.66,0.0
81,82.0,40.0,Female,Mobile,7.6,5.0,6.0,0.0,0.0,0.0,0.0,9.18,,0.0
82,83.0,36.0,Female,Tablet,12.81,8.0,8.0,7.0,1.0,1.0,0.0,17.76,29.51,1.0
83,84.0,45.0,Female,Mobile,12.59,10.0,10.0,9.0,1.0,0.0,1.0,27.52,35.4,1.0
84,85.0,32.0,Male,Mobile,9.15,12.0,,8.0,1.0,,1.0,25.62,41.05,1.0
85,86.0,18.0,Female,Desktop,14.4,11.0,6.0,6.0,1.0,1.0,1.0,21.24,72.49,1.0
86,87.0,36.0,Male,Mobile,5.5,3.0,0.0,2.0,1.0,0.0,0.0,8.37,25.29,0.0
87,88.0,29.0,Female,Desktop,10.9,4.0,3.0,4.0,0.0,0.0,1.0,4.99,,0.0
88,89.0,24.0,Male,Mobile,7.51,7.0,7.0,0.0,0.0,0.0,0.0,13.73,72.61,0.0
89,90.0,32.0,Male,Mobile,9.39,8.0,7.0,6.0,0.0,1.0,0.0,20.45,31.98,1.0
90,91.0,18.0,Male,Desktop,14.02,13.0,10.0,4.0,0.0,1.0,1.0,21.35,9.6,1.0
91,92.0,36.0,Male,Mobile,11.09,4.0,4.0,0.0,0.0,0.0,1.0,,99.0,0.0
92,93.0,38.0,Male,Desktop,11.19,3.0,6.0,1.0,0.0,,0.0,17.28,,0.0
93,94.0,29.0,Male,Desktop,15.47,9.0,5.0,2.0,0.0,0.0,0.0,20.41,88.79,0.0
94,95.0,50.0,Female,Desktop,9.25,4.0,0.0,3.0,1.0,1.0,1.0,10.24,83.97,0.0
95,96.0,19.0,Female,Mobile,23.43,13.0,14.0,5.0,0.0,0.0,1.0,9.35,35.17,1.0
96,97.0,38.0,Female,Mobile,2.22,6.0,5.0,1.0,0.0,0.0,1.0,5.16,93.81,0.0
97,98.0,18.0,Male,Mobile,7.42,10.0,9.0,4.0,1.0,0.0,1.0,19.1,3.89,1.0
98,99.0,35.0,Female,Mobile,24.4,10.0,10.0,6.0,0.0,0.0,0.0,17.23,,1.0
99,100.0,24.0,Male,Mobile,21.67,12.0,10.0,5.0,0.0,1.0,1.0,8.85,23.55,1.0
100,101.0,28.0,Female,Mobile,22.35,15.0,8.0,7.0,1.0,1.0,1.0,16.73,45.06,1.0
101,102.0,42.0,Male,Mobile,3.93,5.0,3.0,0.0,0.0,0.0,1.0,17.72,57.0,0.0
102,103.0,37.0,Female,Mobile,25.56,15.0,10.0,4.0,1.0,1.0,0.0,26.02,55.94,1.0
103,104.0,45.0,,Mobile,14.13,14.0,12.0,7.0,1.0,1.0,1.0,21.37,23.73,1.0
104,105.0,39.0,Male,Desktop,11.45,6.0,2.0,,1.0,1.0,1.0,25.23,83.45,0.0
105,106.0,35.0,Female,Desktop,14.49,8.0,9.0,6.0,1.0,1.0,1.0,18.3,1.0,1.0
106,107.0,28.0,Male,Desktop,22.73,10.0,11.0,5.0,0.0,1.0,1.0,11.18,,1.0
107,108.0,46.0,Male,Tablet,5.8,,8.0,1.0,0.0,0.0,0.0,6.04,57.55,0.0
108,109.0,36.0,Female,Mobile,20.41,12.0,9.0,6.0,1.0,1.0,1.0,4.26,1.0,1.0
109,110.0,31.0,Female,Mobile,18.38,13.0,10.0,4.0,0.0,0.0,1.0,23.26,7.36,1.0
110,111.0,18.0,Male,Desktop,17.52,15.0,13.0,5.0,1.0,1.0,1.0,24.08,24.05,1.0
111,112.0,,Female,Mobile,13.27,14.0,7.0,6.0,1.0,1.0,1.0,9.0,52.26,1.0
112,113.0,31.0,Female,Desktop,9.88,1.0,2.0,3.0,1.0,0.0,0.0,13.13,89.29,0.0
113,114.0,27.0,Female,Mobile,14.42,5.0,0.0,1.0,0.0,1.0,0.0,9.78,94.26,0.0
114,115.0,18.0,Male,Tablet,7.07,7.0,2.0,0.0,0.0,0.0,1.0,7.75,74.66,0.0
115,116.0,46.0,Male,Tablet,8.71,9.0,0.0,2.0,0.0,1.0,0.0,4.58,99.0,0.0
116,117.0,45.0,Female,Desktop,8.37,4.0,3.0,5.0,0.0,0.0,1.0,3.72,49.05,0.0
117,118.0,,Male,Desktop,24.94,12.0,6.0,5.0,1.0,0.0,1.0,25.01,40.11,1.0
118,119.0,36.0,Female,Mobile,3.57,9.0,2.0,0.0,0.0,0.0,0.0,1.0,97.86,0.0
119,120.0,26.0,Female,,,5.0,10.0,3.0,0.0,0.0,0.0,4.43,83.15,0.0
120,121.0,32.0,Female,Desktop,,7.0,2.0,4.0,0.0,0.0,0.0,9.85,99.0,0.0
121,122.0,32.0,Male,Mobile,4.54,6.0,8.0,0.0,0.0,0.0,1.0,1.07,57.21,0.0
122,123.0,26.0,Male,Desktop,12.67,12.0,7.0,4.0,0.0,1.0,0.0,17.41,27.92,1.0
123,124.0,37.0,Female,Desktop,16.08,17.0,4.0,4.0,1.0,0.0,1.0,18.71,,1.0
124,125.0,24.0,Male,Mobile,11.48,13.0,8.0,7.0,0.0,0.0,1.0,15.68,48.89,1.0
125,126.0,47.0,Male,Mobile,19.86,9.0,5.0,9.0,0.0,1.0,1.0,19.15,69.74,1.0
126,127.0,27.0,Male,Desktop,8.65,3.0,2.0,,1.0,1.0,0.0,13.09,57.14,0.0
127,128.0,,Female,Mobile,10.34,1.0,8.0,1.0,0.0,0.0,0.0,13.04,64.92,0.0
128,129.0,26.0,Female,Tablet,9.9,9.0,9.0,3.0,1.0,0.0,0.0,24.82,1.0,1.0
129,130.0,18.0,Male,Mobile,23.11,8.0,9.0,7.0,1.0,1.0,1.0,16.86,22.04,1.0
130,131.0,18.0,Male,Desktop,9.12,14.0,2.0,6.0,0.0,1.0,1.0,18.75,40.08,1.0
131,132.0,19.0,Male,Desktop,10.27,11.0,7.0,2.0,,0.0,1.0,8.37,26.43,1.0
132,133.0,33.0,Female,Desktop,17.11,10.0,13.0,4.0,1.0,0.0,0.0,21.12,29.49,1.0
133,134.0,29.0,Female,Tablet,19.26,8.0,,4.0,0.0,1.0,1.0,23.56,4.14,1.0
134,135.0,37.0,Female,Mobile,11.77,9.0,8.0,4.0,0.0,0.0,0.0,4.98,74.47,0.0
135,136.0,29.0,Female,,17.67,8.0,10.0,7.0,0.0,1.0,1.0,3.75,35.69,1.0
136,137.0,37.0,Female,Mobile,26.8,17.0,10.0,5.0,1.0,1.0,1.0,21.17,1.0,1.0
137,138.0,24.0,Male,Mobile,13.77,6.0,6.0,1.0,0.0,0.0,0.0,10.36,72.79,0.0
138,139.0,18.0,Male,Mobile,23.17,6.0,11.0,6.0,1.0,0.0,1.0,20.35,46.08,1.0
139,140.0,41.0,Female,Mobile,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,89.23,0.0
140,141.0,46.0,Female,Desktop,6.56,2.0,0.0,0.0,0.0,1.0,1.0,10.59,64.97,0.0
141,142.0,41.0,Female,Desktop,17.15,16.0,7.0,9.0,1.0,0.0,1.0,20.59,19.9,1.0
142,143.0,40.0,Female,Mobile,28.62,11.0,4.0,9.0,0.0,0.0,1.0,18.5,35.76,1.0
143,144.0,23.0,Male,Mobile,15.48,11.0,10.0,7.0,0.0,0.0,1.0,15.26,1.0,1.0
144,145.0,24.0,Female,Desktop,14.63,12.0,8.0,5.0,1.0,0.0,1.0,18.97,64.67,1.0
145,146.0,27.0,Male,Desktop,18.85,16.0,5.0,4.0,0.0,1.0,1.0,23.63,43.31,1.0
146,,37.0,Female,Desktop,7.99,9.0,0.0,0.0,1.0,1.0,1.0,10.63,88.95,0.0
147,148.0,35.0,Male,Desktop,14.03,10.0,8.0,8.0,1.0,1.0,1.0,22.74,17.49,1.0
148,149.0,29.0,Female,Mobile,15.58,14.0,5.0,3.0,0.0,1.0,1.0,9.67,49.36,1.0
149,150.0,42.0,Male,Mobile,25.16,16.0,8.0,6.0,,1.0,0.0,18.39,61.02,1.0
150,151.0,34.0,Female,Mobile,6.14,2.0,0.0,1.0,0.0,0.0,1.0,14.4,68.12,0.0
151,152.0,26.0,Male,Mobile,11.36,14.0,6.0,6.0,1.0,0.0,1.0,22.66,45.79,1.0
152,153.0,18.0,Male,Desktop,10.44,12.0,5.0,4.0,0.0,1.0,1.0,21.19,11.6,1.0
153,,22.0,Female,Mobile,29.03,11.0,9.0,7.0,0.0,1.0,1.0,14.92,41.98,1.0
154,155.0,,Male,Tablet,5.78,1.0,6.0,2.0,1.0,0.0,1.0,5.09,81.77,0.0
155,156.0,42.0,Female,Mobile,20.17,9.0,6.0,4.0,0.0,0.0,1.0,17.16,1.0,1.0
156,157.0,39.0,Male,Mobile,5.37,3.0,3.0,0.0,0.0,1.0,0.0,7.97,77.92,0.0
157,158.0,29.0,Female,Desktop,9.71,11.0,1.0,0.0,0.0,0.0,0.0,11.64,97.55,0.0
158,159.0,28.0,Male,Mobile,25.3,13.0,10.0,6.0,1.0,1.0,1.0,18.41,39.52,1.0
159,160.0,40.0,Male,Desktop,14.9,3.0,6.0,2.0,0.0,1.0,1.0,14.44,85.33,0.0
160,161.0,30.0,Female,Tablet,20.29,13.0,10.0,5.0,1.0,0.0,1.0,26.91,8.89,1.0
161,162.0,34.0,Male,Mobile,14.2,,4.0,2.0,1.0,0.0,1.0,7.3,99.0,0.0
162,163.0,53.0,Female,Tablet,9.72,4.0,3.0,0.0,0.0,1.0,0.0,6.43,62.41,0.0
163,164.0,26.0,Male,Desktop,15.09,3.0,5.0,1.0,0.0,0.0,0.0,9.37,81.17,0.0
164,165.0,24.0,,Tablet,15.94,,9.0,3.0,1.0,1.0,1.0,21.61,44.96,1.0
165,166.0,35.0,Female,Tablet,9.3,6.0,2.0,0.0,0.0,0.0,0.0,1.58,66.45,0.0
166,167.0,37.0,Male,Mobile,,15.0,6.0,7.0,1.0,0.0,0.0,25.45,32.72,1.0
167,168.0,25.0,Male,Mobile,15.71,15.0,7.0,6.0,1.0,1.0,0.0,5.81,7.7,1.0
168,169.0,32.0,Male,Mobile,5.76,11.0,6.0,9.0,1.0,1.0,0.0,7.77,30.07,1.0
169,170.0,,Male,Desktop,16.8,2.0,5.0,,0.0,0.0,1.0,7.62,73.41,0.0
170,171.0,20.0,Female,Desktop,13.56,3.0,4.0,2.0,0.0,0.0,0.0,19.55,47.39,0.0
171,172.0,18.0,Female,Tablet,20.44,11.0,7.0,6.0,0.0,1.0,0.0,18.8,30.31,1.0
172,173.0,18.0,Female,Desktop,15.38,12.0,3.0,6.0,1.0,1.0,0.0,18.44,1.0,1.0
173,174.0,38.0,Male,Mobile,14.14,12.0,9.0,,0.0,1.0,1.0,17.57,40.9,1.0
174,175.0,43.0,Male,Desktop,7.14,6.0,1.0,0.0,1.0,0.0,0.0,10.49,23.3,0.0
175,176.0,23.0,Male,Mobile,9.94,13.0,9.0,9.0,0.0,1.0,1.0,10.35,53.48,1.0
176,177.0,28.0,Female,Mobile,16.58,,3.0,0.0,0.0,0.0,0.0,6.15,67.52,0.0
177,178.0,35.0,Female,Desktop,8.69,12.0,6.0,8.0,0.0,1.0,0.0,10.3,40.49,1.0
178,179.0,26.0,Female,Mobile,7.76,6.0,3.0,1.0,0.0,1.0,1.0,3.09,91.37,0.0
179,180.0,18.0,Female,Mobile,21.42,16.0,8.0,7.0,1.0,1.0,0.0,9.51,42.51,1.0
180,181.0,23.0,Male,Desktop,13.37,11.0,7.0,6.0,1.0,1.0,1.0,9.38,43.75,1.0
181,182.0,29.0,Female,Mobile,21.31,13.0,11.0,5.0,1.0,1.0,1.0,16.36,54.05,1.0
182,183.0,38.0,Male,Desktop,15.66,6.0,0.0,1.0,0.0,1.0,0.0,17.04,81.79,0.0
183,184.0,28.0,Male,Desktop,13.84,5.0,2.0,0.0,0.0,0.0,1.0,8.04,62.43,0.0
184,185.0,30.0,Female,Mobile,7.89,13.0,13.0,9.0,1.0,1.0,1.0,12.44,1.0,1.0
185,186.0,50.0,Male,,12.37,3.0,8.0,0.0,1.0,0.0,0.0,10.54,69.15,0.0
186,,25.0,Female,Mobile,11.83,4.0,1.0,3.0,0.0,0.0,0.0,1.0,55.15,0.0
187,188.0,18.0,Female,Desktop,2.75,5.0,6.0,0.0,0.0,1.0,1.0,1.0,66.18,0.0
188,189.0,40.0,Male,Mobile,11.79,3.0,1.0,0.0,0.0,1.0,1.0,8.12,95.74,0.0
189,190.0,23.0,Male,Mobile,14.5,17.0,9.0,7.0,0.0,0.0,1.0,16.27,25.53,1.0
190,191.0,42.0,Male,Mobile,26.99,15.0,8.0,3.0,1.0,1.0,1.0,14.58,19.03,1.0
191,192.0,42.0,Female,Mobile,9.65,2.0,0.0,4.0,0.0,0.0,0.0,3.44,,0.0
192,193.0,43.0,Female,Tablet,13.82,4.0,0.0,3.0,0.0,1.0,1.0,3.24,55.78,0.0
193,194.0,18.0,Female,Mobile,14.7,9.0,8.0,0.0,0.0,0.0,1.0,24.18,50.11,0.0
194,195.0,42.0,Female,Tablet,11.08,12.0,4.0,4.0,1.0,0.0,0.0,10.08,44.13,1.0
195,196.0,44.0,Male,Desktop,14.0,13.0,9.0,3.0,1.0,0.0,1.0,20.33,31.0,1.0
196,197.0,41.0,Female,Desktop,1.0,6.0,5.0,0.0,1.0,1.0,0.0,16.71,31.97,0.0
197,198.0,42.0,,Mobile,11.19,7.0,1.0,0.0,0.0,0.0,0.0,3.17,,0.0
198,199.0,47.0,Female,Mobile,8.5,,3.0,4.0,0.0,1.0,1.0,6.44,49.54,0.0
199,,35.0,Female,Mobile,16.78,6.0,3.0,1.0,1.0,0.0,0.0,8.26,10.82,0.0
200,201.0,43.0,Male,Desktop,11.04,5.0,4.0,1.0,,0.0,0.0,5.94,55.24,0.0
201,202.0,18.0,Male,Mobile,20.87,18.0,9.0,7.0,0.0,0.0,0.0,28.78,,1.0
202,203.0,43.0,Male,Mobile,19.01,10.0,9.0,5.0,1.0,1.0,0.0,21.12,19.83,1.0
203,204.0,32.0,Male,Tablet,8.41,,1.0,1.0,0.0,0.0,0.0,12.67,69.79,0.0
204,205.0,37.0,Female,Mobile,7.51,10.0,6.0,1.0,0.0,1.0,1.0,16.74,89.76,0.0
205,206.0,37.0,Female,Mobile,16.55,16.0,8.0,7.0,1.0,0.0,0.0,32.34,51.82,1.0
206,207.0,20.0,Male,Mobile,8.47,17.0,7.0,9.0,1.0,1.0,1.0,23.18,9.51,1.0
207,208.0,23.0,Male,Desktop,14.27,7.0,,4.0,0.0,1.0,0.0,10.82,62.97,0.0
208,209.0,48.0,Female,Mobile,17.62,16.0,14.0,5.0,1.0,1.0,1.0,12.47,42.71,1.0
209,210.0,41.0,Female,Mobile,30.0,13.0,2.0,6.0,1.0,1.0,1.0,22.45,20.21,1.0
210,211.0,26.0,Male,Mobile,6.34,6.0,6.0,2.0,0.0,0.0,1.0,5.37,75.07,0.0
211,212.0,30.0,Female,Mobile,6.23,3.0,5.0,0.0,1.0,0.0,0.0,1.0,70.6,0.0
212,213.0,33.0,Female,Mobile,10.73,10.0,5.0,0.0,0.0,0.0,0.0,1.0,89.96,0.0
213,214.0,25.0,Male,,12.49,10.0,9.0,3.0,1.0,1.0,1.0,14.12,11.49,1.0
214,215.0,44.0,Female,Tablet,5.29,2.0,3.0,3.0,0.0,1.0,1.0,17.37,33.7,0.0
215,216.0,33.0,Female,Tablet,18.17,14.0,3.0,7.0,0.0,1.0,0.0,11.82,2.0,1.0
216,217.0,18.0,Male,Mobile,16.48,15.0,6.0,7.0,1.0,1.0,0.0,25.63,2.65,1.0
217,218.0,44.0,Male,,9.39,2.0,6.0,4.0,0.0,0.0,1.0,11.27,17.96,0.0
218,219.0,40.0,Female,Desktop,10.87,13.0,1.0,0.0,0.0,0.0,0.0,7.13,53.99,0.0
219,220.0,37.0,Male,Mobile,5.59,1.0,6.0,4.0,1.0,0.0,1.0,5.92,80.2,0.0
220,221.0,38.0,Female,Mobile,6.89,8.0,8.0,0.0,0.0,1.0,0.0,3.16,,0.0
221,222.0,47.0,Female,Mobile,13.98,4.0,0.0,1.0,1.0,0.0,0.0,16.86,62.79,0.0
222,223.0,43.0,Male,Mobile,16.52,12.0,7.0,4.0,0.0,0.0,1.0,21.8,15.33,1.0
223,224.0,35.0,Female,Desktop,29.73,15.0,8.0,6.0,1.0,1.0,1.0,17.43,35.36,1.0
224,225.0,29.0,Female,Tablet,20.37,9.0,8.0,8.0,1.0,1.0,0.0,19.14,1.0,1.0
225,226.0,32.0,Male,Mobile,15.47,13.0,10.0,6.0,1.0,1.0,1.0,15.81,32.22,1.0
226,227.0,48.0,Female,Desktop,10.54,1.0,5.0,3.0,0.0,1.0,1.0,3.39,41.05,0.0
227,228.0,24.0,Male,Desktop,15.16,16.0,9.0,7.0,0.0,1.0,1.0,18.35,50.03,1.0
228,229.0,32.0,Female,Desktop,3.55,4.0,0.0,3.0,1.0,0.0,0.0,7.74,38.41,0.0
229,230.0,35.0,Male,Desktop,17.71,6.0,0.0,3.0,1.0,0.0,0.0,10.21,55.04,0.0
230,231.0,44.0,Female,Desktop,15.8,7.0,7.0,0.0,0.0,0.0,0.0,16.42,68.45,0.0
231,232.0,45.0,Male,Mobile,30.0,9.0,11.0,7.0,1.0,0.0,1.0,14.84,26.7,1.0
232,233.0,33.0,Male,Mobile,7.56,6.0,7.0,2.0,1.0,0.0,0.0,5.49,99.0,0.0
233,234.0,40.0,Female,Mobile,28.67,10.0,4.0,9.0,1.0,1.0,1.0,16.13,28.05,1.0
234,235.0,22.0,Female,Desktop,11.16,13.0,12.0,5.0,,1.0,1.0,18.48,51.39,1.0
235,236.0,26.0,Female,,11.77,4.0,0.0,1.0,0.0,1.0,1.0,8.73,72.26,0.0
236,237.0,27.0,,Mobile,20.5,10.0,8.0,5.0,1.0,1.0,1.0,11.95,27.04,1.0
237,238.0,22.0,Male,Mobile,22.19,15.0,6.0,8.0,1.0,0.0,,23.04,23.84,1.0
238,239.0,38.0,Female,Mobile,9.57,11.0,5.0,0.0,0.0,1.0,1.0,1.0,66.59,0.0
239,240.0,18.0,,Mobile,15.51,11.0,9.0,7.0,1.0,0.0,1.0,16.61,10.15,1.0
240,241.0,35.0,Male,Mobile,5.73,8.0,,2.0,1.0,0.0,0.0,1.0,69.49,0.0
241,242.0,37.0,Female,Mobile,7.5,8.0,5.0,3.0,0.0,0.0,0.0,12.13,56.85,0.0
242,243.0,47.0,Female,Mobile,9.17,4.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0
